param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 3.198937821164307 2.538937651175369 5.3372627204981855 3.03831662432213 3.662064295750305 1.2474749817545872 3.03831662432213
tkin1 2.2427235405348176 1.131306527336853 2.915270704884021 2.5911175745146373 2.0942141621329373 0.7575815974304261 2.5911175745146373
cdmol1 18.95754652546151 18.432278344770992 19.347488657324778 19.472562493317838 18.93815067845589 0.45817747899502387 19.472562493317838
ff1 -1.5752182602251736 -1.9096401264334417 -0.9636838181492193 -1.9987138209880615 -1.4937812651738676 0.42054655720719786 -1.9987138209880615
xmol1 -1.7 -1.7 -1.7 -1.7 -1.6999999999999995 1.0323827311807139e-07 -1.7
lum1 2.8790959119796753 2.8790959119796753 2.8790959119796753 2.8790959119796753 2.8790959119796753 0.0 2.8790959119796753
press1 5.554140468084135 5.193862276481408 6.527067381916299 5.629434198836767 5.756278457883248 0.6919826919390919 5.629434198836767
bacd1 17.41854128662086 17.354032290839847 17.520321768448 17.473848672329776 17.444369413281997 0.1210821349245226 17.473848672329776
k1mol0 1.155372110833896 1.0903415641398615 1.2120517471901113 1.1614345426573898 1.1521028500245734 0.060015133566903335 1.1614345426573898
k2mol0 0.9378813518739338 0.8928241675032104 0.9866454129836615 0.9371713615363255 0.9396009685087671 0.04589739925871069 0.9371713615363255
k3mol0 0.7560494528190924 0.6658355887499526 0.8451843669609084 0.8260427369020952 0.7538592491235256 0.09416518563314477 0.8260427369020952
k1mol1 0.07247016010862045 0.06887328002432144 0.07604005608852188 0.07189259759730716 0.0724092851391726 0.0036187591521153906 0.07189259759730716
k2mol1 0.10142572563180513 0.07558302822214609 0.1432734925573622 0.11644434404362948 0.10868484135127875 0.0362072240962971 0.11644434404362948
k3mol1 0.06164949098030087 0.038553288037207104 0.11289282763154933 0.09036722995978481 0.07736605555175634 0.05390240106076502 0.09036722995978481
mass1 8.017283825336168 7.952774829555153 8.119064307163306 8.072591211045083 8.043111951997304 0.1210821349245226 8.072591211045083
