param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 2.6103167101259777 2.137607593088992 4.072248472858664 3.6027138113203314 3.033986270366795 1.072611901845628 3.6027138113203314
tkin1 1.7407860004166782 1.047663825215327 2.083228016791523 1.1834312810468899 1.6369102600100205 0.43447708523435535 1.1834312810468899
cdmol1 19.484728102127825 19.03581959318195 19.67631462430346 19.14571772362668 19.403861316224138 0.2800963795890615 19.14571772362668
ff1 -1.3678758572462733 -1.467209712549405 -0.9666169441192465 -1.1190975198832511 -1.2784991349553363 0.22768157841214917 -1.1190975198832511
xmol1 -2.0 -2.0 -2.0 -2.0 -2.0000000000000018 nan -2.0
lum1 3.274157762527466 3.274157762527466 3.274157762527466 3.274157762527466 3.2741577625274667 nan 3.274157762527466
press1 4.417875067730287 4.197372847177792 5.143335276909811 4.786145092367221 4.6708965303768055 0.7065879229156105 4.786145092367221
bacd1 18.10109683122139 18.024601682774122 18.247568631135856 18.02662020374343 18.125362181268788 0.10881236221500949 18.02662020374343
k1mol0 0.8853116854519028 0.848051807334239 0.9210636714011475 0.8855812349632649 0.8845094933767792 0.03715707814113632 0.8855812349632649
k2mol0 0.702914842812185 0.6800905472040875 0.7257228660451798 0.729369266049144 0.7030302301457783 0.023155392464652518 0.729369266049144
k3mol0 0.46516896437244154 0.44174421218802623 0.4879772224576905 0.47000418676204864 0.4650185025366945 0.023178338910997676 0.47000418676204864
k1mol1 0.06693223967984001 0.0620807166141183 0.07177215809928314 0.06736498630252749 0.0669217455634442 0.004785869071277875 0.06736498630252749
k2mol1 0.03818984627187562 0.031063616383697076 0.07516192557651329 0.06789709519907194 0.04802264497220816 0.020225005839207964 0.06789709519907194
k3mol1 0.012355764942257338 0.00996601749913037 0.022675613389484543 0.019178724942595 0.01567876726692916 0.008091085563425242 0.019178724942595
mass1 8.939664142517273 8.863168994070005 9.086135942431738 8.865187515039313 8.96392949256467 0.10881236221500949 8.865187515039313
